nom,prix,type,annee,kilometrage,localisation
Ford F-650,Pas de prix,Box trucks,2019,83211,"Lake Worth, Texas,  US"
RAM 5500,Pas de prix,Wood Chippers,2019,43930,"Lake Worth, Texas,  US"
Peterbilt 389,Pas de prix,Car Haulers,2016,Non spécifié,"Lake Worth, Texas,  US"
Mack GR64B,Pas de prix,Concrete Trucks,2023,14263,"Lake Worth, Texas,  US"
Freightliner M2106,Pas de prix,Box trucks,2015,331020,"Davenport, Florida,  US"
Hino 268,Pas de prix,Box trucks,2013,444434,"Davenport, Florida,  US"
Ford F-650,Pas de prix,Dump Trucks,2017,91586,"Davenport, Florida,  US"
Freightliner M2 106,Pas de prix,Box trucks,2019,255626,"Lake Worth, Texas,  US"
Freightliner M2 106,Pas de prix,Box trucks,2018,146560,"Newnan, Georgia,  US"
Ford F-750,Pas de prix,Dump Trucks,2015,41817,"Lake Worth, Texas,  US"
GMC C7H042,Pas de prix,Box trucks,1996,118952,"Lake Worth, Texas,  US"
Freightliner M2106,Pas de prix,Box trucks,2020,146708,"Davenport, Florida,  US"
Western Star 4700SF,Pas de prix,Dump Trucks,2015,300460,"Lake Worth, Texas,  US"
RAM 5500,Pas de prix,Box trucks,2014,169825,"Davenport, Florida,  US"
RAM 5500,Pas de prix,Box trucks,2014,169825,"Davenport, Florida,  US"
Freightliner M2 106,Pas de prix,Flatbed Trucks,2016,205192,"Davenport, Florida,  US"
Ford F-350,Pas de prix,Flatbed Trucks,2013,248117,"Lake Worth, Texas,  US"
AM General M1025,Pas de prix,Dump Trucks,2007,12576,"Lake Worth, Texas,  US"
Mack GR64B,Pas de prix,Concrete Trucks,2023,41064,"Lake Worth, Texas,  US"
Gallegos Concrete Pig,Pas de prix,Other Trucks,2023,Non spécifié,"Lake Worth, Texas,  US"
Ford F-450,Pas de prix,Flatbed Trucks,2016,219653,"Lake Worth, Texas,  US"
Hino 268,Pas de prix,Box trucks,2017,184676,"North East, Maryland,  US"
Freightliner M2106,Pas de prix,Box trucks,2018,277353,"Lake Worth, Texas,  US"
Western Star 4700SF,Pas de prix,Dump Trucks,2015,271379,"Lake Worth, Texas,  US"
Ford F-550,Pas de prix,Flatbed Trucks,2019,98230,"Lake Worth, Texas,  US"
Ford F-750,Pas de prix,Box trucks,2019,191170,"Davenport, Florida,  US"
Freightliner M2106,Pas de prix,Box trucks,2019,132621,"Davenport, Florida,  US"
Mack GR64B,Pas de prix,Concrete Trucks,2023,36985,"Lake Worth, Texas,  US"
Fruehauf M-104,Pas de prix,Dump Trucks,Non spécifiée,Non spécifié,"Davenport, Florida,  US"
Volvo VAH,Pas de prix,Car Haulers,2016,677358,"Lake Worth, Texas,  US"
