titre,prix,annee,km,pays,type,modele,lien
"Mercedes-Benz Actros 2553L FRC 9,7m",Company,2021,"368,597 miles",Finland,Reefer Trucks,"Mercedes-Benz Actros 2553L FRC 9,7m",https://www.mascus.com/transportation/temperature-controlled-trucks/mercedes-benz-actros-2553l-frc-9-7m/6p7l9nhm.html
Scania R730 6X4 PALFINGER PK 33002 EH Crane,Company,2016,"412,201 miles",Hungary,Flatbed Trucks,Scania R730 6X4 PALFINGER PK 33002 EH Crane,https://www.mascus.com/transportation/flatbed-dropside-trucks/scania-r730-6x4-palfinger-pk-33002-eh-crane/cmhhgoaj.html
MAN TGX 26.500 6X2-2 LL,Company,2016,"192,314 miles",Denmark,Container Trucks,MAN TGX 26.500 6X2-2 LL,https://www.mascus.com/transportation/containerframe-trucks/man-tgx-26-500-6x2-2-ll/gtbohs3i.html
Mercedes-Benz Actros 2653 L 6x2 DNA Koukkulaite,Company,2019,"181,751 miles",Finland,Hook lift trucks,Mercedes-Benz Actros 2653 L 6x2 DNA koukkulaite,https://www.mascus.com/transportation/hook-lift-trucks/mercedes-benz-actros-2653-l-6x2-dna-koukkulaite/in3najbm.html
Peterbilt 567,Company,2026,"1,024 miles",United States,Dump Trucks,Peterbilt 567,https://www.mascus.com/transportation/tipper-trucks/peterbilt-567/6ufpat3q.html
Mercedes-Benz Actros 3341,Company,2005,"288,317 miles",France,Boom / Crane / Bucket Trucks,Mercedes-Benz Actros 3341,https://www.mascus.com/transportation/crane-trucks/mercedes-benz-actros-3341/6i7sao9u.html
Freightliner M2 106,Company,2020,"115,310 miles",United States,Reefer Trucks,Freightliner M2 106,https://www.mascus.com/transportation/temperature-controlled-trucks/freightliner-m2-106/3k9mcm3t.html
Sterling A9500,Company,2001,"314,221 miles",United States,Dump Trucks,Sterling A9500,https://www.mascus.com/transportation/tipper-trucks/sterling-a9500/5ghpfsdo.html
Freightliner M2 106,Company,2014,"107,894 miles",United States,Flatbed Trucks,Freightliner M2 106,https://www.mascus.com/transportation/flatbed-dropside-trucks/freightliner-m2-106/3m7ifubo.html
Peterbilt 388,Company,2014,,United States,Car Haulers,Peterbilt 388,https://www.mascus.com/transportation/vehicle-transporters/peterbilt-388/9ocs7mhp.html
Mack Granite,Company,2022,,United States,Log trucks,Mack granite,https://www.mascus.com/transportation/timber-trucks/mack-granite/bhatfldu.html
IBAK Inspection System Mounted In Ford F550 FWD Ch,Company,2020,,United States,Cab & Chassis Trucks,IBAK Inspection System Mounted In Ford F550 FWD Ch,https://www.mascus.com/transportation/chassis-cab-trucks/ibak-inspection-system-mounted-in-ford-f550-fwd-ch/6jcfhsin.html
Peterbilt 365,Company,2014,"225,910 miles",United States,Concrete Trucks,Peterbilt 365,https://www.mascus.com/transportation/concrete-trucks/peterbilt-365/ihchelgg.html
MultiQuip 500 Gal T/A Water Tank Trailer,Company,2006,,United States,Other Trucks,MultiQuip 500 gal T/A Water Tank Trailer,https://www.mascus.com/transportation/other-trucks/multiquip-500-gal-t-a-water-tank-trailer/dkgkcn8o.html
MAN TGS 32.430 TGS 8X4 9m3 Imer LT 9-7 HSL Mixer Steel,Company,2021,"72,101 miles",Netherlands,Concrete Trucks,MAN TGS 32.430 TGS 8X4 9m3 Imer LT 9-7 HSL Mixer Steel,https://www.mascus.com/transportation/concrete-trucks/man-tgs-32-430-tgs-8x4-9m3-imer-lt-9-7-hsl-mixer-steel/9jimcsah.html
Volvo FH 12 8x4,Company,2005,"594,652 miles",Finland,Forest machine transport trucks,Volvo FH 12 8x4,https://www.mascus.com/transportation/used-forest-machine-transport-trucks/volvo-fh-12-8x4/6i5k4ufk.html
Ford Transit Med Cromprimator,Company,2020,"95,691 miles",Denmark,Other Trucks,Ford Transit med Cromprimator,https://www.mascus.com/transportation/other-trucks/ford-transit-med-cromprimator/4f4u6lin.html
"Volvo FH 460 XL, Chassi Standklima, Lenkachse,",Company,2020,"601,547 miles",Germany,Cab & Chassis Trucks,"Volvo FH 460 XL, Chassi Standklima, Lenkachse,",https://www.mascus.com/transportation/chassis-cab-trucks/volvo-fh-460-xl-chassi-standklima-lenkachse/5r3qhkdf.html
MAN TGS 26.400 * LENK- &Amp; LIFTACHSE * ALCOA * ROHR,Company,2010,"397,677 miles",Germany,Tank Trucks,MAN TGS 26.400 * LENK- & LIFTACHSE * ALCOA * ROHR,https://www.mascus.com/transportation/tank-trucks/man-tgs-26-400-lenk-amp-liftachse-alcoa-rohr/bmbnisai.html
Hino 268,Company,2020,"198,918 miles",United States,Box trucks,Hino 268,https://www.mascus.com/transportation/box-body-trucks/hino-268/8h7i8u9q.html
MAN TGS 35.510 3 Way Tipper,Company,,"207,165 miles",Hungary,Dump Trucks,MAN TGS 35.510 3 Way Tipper,https://www.mascus.com/transportation/tipper-trucks/man-tgs-35-510-3-way-tipper/fiathu7l.html
International 4900 DT,Company,1995,"365,081 miles",United States,Dump Trucks,International 4900 DT,https://www.mascus.com/transportation/tipper-trucks/international-4900-dt/bicgbl9m.html
Peterbilt 357,Company,2006,,United States,Other Trucks,Peterbilt 357,https://www.mascus.com/transportation/other-trucks/peterbilt-357/gg3k9fgp.html
Volvo FL 250 E6 Getränkewagen Klima LBW 178.000 Km,Company,2014,"110,907 miles",Germany,Box trucks,Volvo FL 250 E6 Getränkewagen Klima LBW 178.000 Km,https://www.mascus.com/transportation/box-body-trucks/volvo-fl-250-e6-getrankewagen-klima-lbw-178-000-km/gripatdi.html
MAN TGS 18.480 HMF 1820-6,Company,2015,"305,093 miles",Greece,Boom / Crane / Bucket Trucks,MAN TGS 18.480 HMF 1820-6,https://www.mascus.com/transportation/crane-trucks/man-tgs-18-480-hmf-1820-6/3k7tipdq.html
"Iveco AT260S31Y/FS 6x2, Kran Palfinger PK 12502,",Company,2007,"78,662 miles",Germany,Hook lift trucks,"Iveco AT260S31Y/FS 6x2, Kran Palfinger PK 12502,",https://www.mascus.com/transportation/hook-lift-trucks/iveco-at260s31y-fs-6x2-kran-palfinger-pk-12502/esgk7uei.html
Howo 371 6x4,Company,2024,"5,282 miles",China,Dump Trucks,Howo 371 6x4,https://www.mascus.com/transportation/tipper-trucks/howo-371-6x4/9sgt5qbp.html
Howo 371hp,Company,2024,,China,Animal transport trucks,Howo 371hp,https://www.mascus.com/transportation/animal-transport-trucks/howo-371hp/eugkcods.html
MAN TGS 35.500 8x4 Palfinger PK 135.002 TEC Crane,Company,2018,"76,126 miles",Poland,Boom / Crane / Bucket Trucks,MAN TGS 35.500 8x4 Palfinger PK 135.002 TEC Crane,https://www.mascus.com/transportation/crane-trucks/man-tgs-35-500-8x4-palfinger-pk-135-002-tec-crane/hu3rilhq.html
MAN 26.403 Kipper 6x4 Big Axle'S Full Steel Suspension,Company,1998,"369,041 miles",Netherlands,Dump Trucks,MAN 26.403 Kipper 6x4 Big Axle's Full Steel Suspension,https://www.mascus.com/transportation/tipper-trucks/man-26-403-kipper-6x4-big-axle-s-full-steel-suspension/an3hfhci.html
DAF CF 240,Company,2016,"163,421 miles",United Kingdom,Winch trucks,DAF CF 240,https://www.mascus.com/transportation/beavertail-flatbed---winch-trucks/daf-cf-240/ii4o7g5t.html
Mercedes-Benz Atego 1429 Atego 4X4 4x4 Crewcab 1500 Kg Zepro Lad,Company,2013,"107,791 miles",Netherlands,Box trucks,Mercedes-Benz Atego 1429 Atego 4X4 4x4 Crewcab 1500 kg Zepro Lad,https://www.mascus.com/transportation/box-body-trucks/mercedes-benz-atego-1429-atego-4x4-4x4-crewcab-1500-kg-zepro-lad/ch5oekcf.html
MAN WVT TGS 42.440 8X6,Company,,"347,514 miles",Serbia,Hook lift trucks,MAN WVT TGS 42.440 8X6,https://www.mascus.com/transportation/hook-lift-trucks/man-wvt-tgs-42-440-8x6/ehbu7i8n.html
Scania R480,Company,2009,"355,122 miles",Finland,Hook lift trucks,Scania R480,https://www.mascus.com/transportation/hook-lift-trucks/scania-r480/cjgjcf4j.html
"Iveco X-Way AD300X46Z 6x4, Retarder, Navi",Company,,,Germany,Cab & Chassis Trucks,"Iveco X-Way AD300X46Z 6x4, Retarder, Navi",https://www.mascus.com/transportation/chassis-cab-trucks/iveco-x-way-ad300x46z-6x4-retarder-navi/9l6udi6u.html
DAF XF 105.410 6X2 FAS NL-TRUCK,Company,2009,"598,772 miles",Netherlands,Hook lift trucks,DAF XF 105.410 6X2 FAS NL-TRUCK,https://www.mascus.com/transportation/hook-lift-trucks/daf-xf-105-410-6x2-fas-nl-truck/6n3tdp6g.html
"MAN TGS 28.440 6X4H-4 BL, HydroDrive, Lenk-/Liftachse,",Company,2015,"104,950 miles",Germany,Cab & Chassis Trucks,"MAN TGS 28.440 6X4H-4 BL, HydroDrive, Lenk-/Liftachse,",https://www.mascus.com/transportation/chassis-cab-trucks/man-tgs-28-440-6x4h-4-bl-hydrodrive-lenk-liftachse/ekhi7ngr.html
Freightliner 108SD,Company,2020,,United States,Concrete Trucks,Freightliner 108SD,https://www.mascus.com/transportation/concrete-trucks/freightliner-108sd/7j3nhr8l.html
Iveco DAILY 35C16,Company,2019,"139,832 miles",Italy,Flatbed Trucks,Iveco DAILY 35C16,https://www.mascus.com/transportation/flatbed-dropside-trucks/iveco-daily-35c16/amim7rgq.html
Ford F 550 SD,Company,2013,,United States,Boom / Crane / Bucket Trucks,Ford F 550 SD,https://www.mascus.com/transportation/crane-trucks/ford-f-550-sd/du6lai8i.html
Isuzu FTR,Company,2024,"5,915 miles",United States,Box trucks,Isuzu FTR,https://www.mascus.com/transportation/box-body-trucks/isuzu-ftr/fofs9qbq.html
MAN TGM 18.290 KYL/FRYS HÖJ/SÄNK,Company,2022,"19,822 miles",Sweden,Reefer Trucks,MAN TGM 18.290 KYL/FRYS HÖJ/SÄNK,https://www.mascus.com/transportation/temperature-controlled-trucks/man-tgm-18-290-kyl-frys-hoj-sank/4p9kfrar.html
Scania R490 Tipper Truck With PHV-24T Tipper Trailer (VID,Company,2016,,Sweden,Dump Trucks,Scania R490 Tipper truck with PHV-24T Tipper trailer (VID,https://www.mascus.com/transportation/tipper-trucks/scania-r490-tipper-truck-with-phv-24t-tipper-trailer-vid/8likil6r.html
Isuzu NRP,Company,2000,"163,174 miles",United States,Other Trucks,Isuzu NRP,https://www.mascus.com/transportation/other-trucks/isuzu-nrp/6oihbhas.html
Ford E450,Company,2016,"129,842 miles",Canada,Box trucks,Ford E450,https://www.mascus.com/transportation/box-body-trucks/ford-e450/7nafbh4k.html
Kenworth T270,Company,2019,"104,296 miles",Canada,Reefer Trucks,Kenworth T270,https://www.mascus.com/transportation/temperature-controlled-trucks/kenworth-t270/ckcr3ren.html
Mercedes-Benz ACTROS 2644 / 6X4 / BASCULATOR / 2X PLĂCI HIDRAULI,Company,2013,"99,419 miles",Hungary,Dump Trucks,Mercedes-Benz ACTROS 2644 / 6X4 / BASCULATOR / 2X PLĂCI HIDRAULI,https://www.mascus.com/transportation/tipper-trucks/mercedes-benz-actros-2644-6x4-basculator-2x-placi-hidrauli/gnefhl6m.html
Renault Midlum 220,Company,2006,"304,472 miles",Germany,Curtain Side Trucks,Renault Midlum 220,https://www.mascus.com/transportation/curtainsider-trucks/renault-midlum-220/4q9ubh9l.html
Freightliner M2 106,Company,2024,,United States,Concrete Trucks,Freightliner M2 106,https://www.mascus.com/transportation/concrete-trucks/freightliner-m2-106/8n7ogrdu.html
DAF LF 55.280 + 13.000L + 3 Compartiment,Company,2009,"284,818 miles",Netherlands,Tank Trucks,DAF LF 55.280 + 13.000L + 3 compartiment,https://www.mascus.com/transportation/tank-trucks/daf-lf-55-280-13-000l-3-compartiment/amhu6s9j.html
Iveco TRAKKER 410 6x4 PALFINGER PK 36002 Fly Jib Cran,Company,2008,"56,911 miles",Poland,Boom / Crane / Bucket Trucks,Iveco TRAKKER 410 6x4 PALFINGER PK 36002 Fly Jib Cran,https://www.mascus.com/transportation/crane-trucks/iveco-trakker-410-6x4-palfinger-pk-36002-fly-jib-cran/gheuithl.html
Freightliner CASCADIA 125,Company,2020,"336,971 miles",United States,Dump Trucks,Freightliner CASCADIA 125,https://www.mascus.com/transportation/tipper-trucks/freightliner-cascadia-125/ejgndg6m.html
Isuzu FVZ 260-300,Company,2019,"34,871 miles",Australia,Tank Trucks,Isuzu FVZ 260-300,https://www.mascus.com/transportation/tank-trucks/isuzu-fvz-260-300/gp6iakal.html
